rank,rank_last_week,weeks_on_list,primary_isbn13,publisher,description,title,author,book_image,amazon_product_url,week,nyt_list
1,0,1,9781250278203,St. Martin's,"Harry Booth, a master thief, breaks things off with Miranda when a dangerous contact might harm her.",NIGHTWORK,NORA ROBERTS,https://storage.googleapis.com/du-prd/books/images/9781250278197.jpg,https://www.amazon.com/dp/1250278198?tag=NYTBSREV-20,2022-06-12,Combined Print & E-Book Fiction
8,0,1,9780593419687,Putnam,The 19th book in the NUMA Files series. A search for lost treasure puts Kurt Austin and Joe Zavala in the middle of a cyber-war.,CLIVE CUSSLER'S DARK VECTOR,GRAHAM BROWN,https://storage.googleapis.com/du-prd/books/images/9780593419670.jpg,https://www.amazon.com/dp/0593419677?tag=NYTBSREV-20,2022-06-12,Combined Print & E-Book Fiction
14,0,1,9780374604783,MCD,Questions arise when Ariel Pryce’s new husband goes missing.,TWO NIGHTS IN LISBON,CHRIS PAVONE,https://storage.googleapis.com/du-prd/books/images/9780374604769.jpg,https://www.amazon.com/dp/0374604762?tag=NYTBSREV-20,2022-06-12,Combined Print & E-Book Fiction
1,0,1,9781982181659,Atria/Emily Bestler,The fifth book in the Terminal List series. James Reece goes after the killer of a Mossad operative attached to the C.I.A.,IN THE BLOOD,JACK CARR,https://storage.googleapis.com/du-prd/books/images/9781982181659.jpg,https://www.amazon.com/dp/1982181656?tag=NYTBSREV-20,2022-06-05,Combined Print & E-Book Fiction
3,0,1,9780593526033,Philomel,"Inspiring teenagers to be their bravest, boldest and truest selves.",RISING TROUBLEMAKER,LUVVIE AJAYI JONES,https://storage.googleapis.com/du-prd/books/images/9780593526033.jpg,https://www.amazon.com/dp/0593526031?tag=NYTBSREV-20,2022-06-05,Young Adult Hardcover
5,0,2,9781536225266,Walker,,ALL OUR HIDDEN GIFTS,CAROLINE O'DONOGHUE,https://storage.googleapis.com/du-prd/books/images/9781536225266.jpg,https://www.amazon.com/dp/1536225266?tag=NYTBSREV-20,2022-06-05,Young Adult Paperback Monthly
6,0,1,9781665901925,Simon & Schuster,Barrett and Miles get stuck in a time loop reliving their first day of college classes.,SEE YOU YESTERDAY,RACHEL LYNN SOLOMON,https://storage.googleapis.com/du-prd/books/images/9781665901925.jpg,https://www.amazon.com/dp/1665901926?tag=NYTBSREV-20,2022-06-05,Young Adult Hardcover
8,0,1,9781368064644,Disney-Hyperion,A member of a world-famous K-pop group keeps a childhood promise.,ONCE UPON A K-PROM,KAT CHO,https://storage.googleapis.com/du-prd/books/images/9781368064644.jpg,https://www.amazon.com/dp/1368064647?tag=NYTBSREV-20,2022-06-05,Young Adult Hardcover
9,0,1,9780525539001,Riverhead,A 40-year-old woman finds new meaning in past events when she goes back in time and relives her 16th birthday in 1996.,THIS TIME TOMORROW,EMMA STRAUB,https://storage.googleapis.com/du-prd/books/images/9780525539001.jpg,https://www.amazon.com/dp/052553900X?tag=NYTBSREV-20,2022-06-05,Combined Print & E-Book Fiction
11,0,1,9781982173425,Gallery,Lily and Leo must decide how much they will risk in pursuit of love and treasure in the red rock canyons of Utah.,SOMETHING WILDER,CHRISTINA LAUREN,https://storage.googleapis.com/du-prd/books/images/9781982173401.jpg,https://www.amazon.com/dp/1982173408?tag=NYTBSREV-20,2022-06-05,Combined Print & E-Book Fiction
4,0,1,9781501133596,Atria,A wedding between Ruby Danhauser and her pandemic boyfriend at a family beach house in Cape Cod brings to light family secrets.,THE SUMMER PLACE,JENNIFER WEINER,https://storage.googleapis.com/du-prd/books/images/9781501133572.jpg,https://www.amazon.com/dp/1501133578?tag=NYTBSREV-20,2022-05-29,Combined Print & E-Book Fiction
11,0,1,9780385544832,Doubleday,"In 1964, a violent kidnapping disrupts a honeymoon holiday in Tanzania for a Hollywood star and her friends.",THE LIONESS,CHRIS BOHJALIAN,https://storage.googleapis.com/du-prd/books/images/9780385544825.jpg,https://www.amazon.com/dp/0385544820?tag=NYTBSREV-20,2022-05-29,Combined Print & E-Book Fiction
1,0,1,9781250244451,Wednesday,Chloe Green seeks answers about the disappearance of Shara Wheeler.,I KISSED SHARA WHEELER,CASEY MCQUISTON,https://storage.googleapis.com/du-prd/books/images/9781250244451.jpg,https://www.amazon.com/dp/1250244455?tag=NYTBSREV-20,2022-05-22,Young Adult Hardcover
1,0,1,9780593334836,Berkley,"While on vacation in North Carolina, a literary agent keeps running into an editor.",BOOK LOVERS,EMILY HENRY,https://storage.googleapis.com/du-prd/books/images/9780593334836.jpg,https://www.amazon.com/dp/0593334833?tag=NYTBSREV-20,2022-05-22,Combined Print & E-Book Fiction
2,0,1,9780593485859,Delacorte,This prequel to “We Were Liars” focuses on Cady's mother and aunts as teenagers in 1987.,FAMILY OF LIARS,E LOCKHART,https://storage.googleapis.com/du-prd/books/images/9780593485859.jpg,https://www.amazon.com/dp/0593485858?tag=NYTBSREV-20,2022-05-22,Young Adult Hardcover
2,0,1,9780316499385,"Little, Brown",The 22nd book in the Women’s Murder Club series. Lindsay Boxer returns as word gets around about a shipment of drugs and weapons.,22 SECONDS,JAMES PATTERSON AND MAXINE PAETRO,https://storage.googleapis.com/du-prd/books/images/9780316499378.jpg,https://www.amazon.com/dp/0316499374?tag=NYTBSREV-20,2022-05-22,Combined Print & E-Book Fiction
4,0,1,9781368071345,Disney,A sequel to the Disney movie “Brave.”,BRAVELY,MAGGIE STIEFVATER,https://storage.googleapis.com/du-prd/books/images/9781368071345.jpg,https://www.amazon.com/dp/1368071341?tag=NYTBSREV-20,2022-05-22,Young Adult Hardcover
7,0,1,9781250812193,Tor,"A bartender working at a Berkshires dive bar deals with doppelgängers, billionaires and magicians seeking a vast and terrible power.",BOOK OF NIGHT,HOLLY BLACK,https://storage.googleapis.com/du-prd/books/images/9781250812193.jpg,https://www.amazon.com/dp/1250812194?tag=NYTBSREV-20,2022-05-22,Combined Print & E-Book Fiction
8,0,1,9780593644836,Delacorte,Two high schoolers team up to investigate a classmate’s death.,THE AGATHAS,KATHLEEN GLASGOW AND LIZ LAWSON,https://storage.googleapis.com/du-prd/books/images/9780593644836.jpg,https://www.amazon.com/dp/0593431111?tag=NYTBSREV-20,2022-05-22,Young Adult Hardcover
8,0,1,9781250278364,St. Martin's,A widow starring in a beach house renovation reality show gets caught up in competing love interests and an old missing persons case.,THE HOMEWRECKERS,MARY KAY ANDREWS,https://storage.googleapis.com/du-prd/books/images/9781250278364.jpg,https://www.amazon.com/dp/1250278368?tag=NYTBSREV-20,2022-05-22,Combined Print & E-Book Fiction
13,0,1,9781728242590,Sourcebooks Landmark,Honey Lovett takes over her mother’s packhorse library route and delivers books to remote areas of Appalachia.,THE BOOK WOMAN'S DAUGHTER,KIM MICHELE RICHARDSON,https://storage.googleapis.com/du-prd/books/images/9781728242590.jpg,https://www.amazon.com/dp/1728242592?tag=NYTBSREV-20,2022-05-22,Combined Print & E-Book Fiction
3,0,1,9780062851185,Morrow,Two rival crime families that control all of New England start a war against each other.,CITY ON FIRE,DON WINSLOW,https://storage.googleapis.com/du-prd/books/images/9780062851192.jpg,https://www.amazon.com/dp/0062851195?tag=NYTBSREV-20,2022-05-15,Combined Print & E-Book Fiction
7,0,1,9780593439128,Berkley,The seventh book in the Shadow Riders series. Elie Archambault decides to marry a woman he has never met.,SHADOW FIRE,CHRISTINE FEEHAN,https://storage.googleapis.com/du-prd/books/images/9780593439128.jpg,https://www.amazon.com/dp/0593439120?tag=NYTBSREV-20,2022-05-15,Combined Print & E-Book Fiction
8,0,1,9780593183328,Dutton,"The matriarch of the Cabrelli family, who is near the end of her life, shares her mother’s love story with her family.",THE GOOD LEFT UNDONE,ADRIANA TRIGIANI,https://storage.googleapis.com/du-prd/books/images/9780593183328.jpg,https://www.amazon.com/dp/0593183320?tag=NYTBSREV-20,2022-05-15,Combined Print & E-Book Fiction
1,0,1,9780691194073,Princeton University,A grand tour of the observable universe.,WELCOME TO THE UNIVERSE IN 3D,NEIL DEGRASSE TYSON ET AL,https://storage.googleapis.com/du-prd/books/images/9780691194073.jpg,https://www.amazon.com/dp/0691194076?tag=NYTBSREV-20,2022-05-08,Young Adult Hardcover
1,0,1,9781538719787,Grand Central,"The third book in the Archer series. Archer, Dash and Callahan search for a missing screenwriter who had a dead body turn up in her home.",DREAM TOWN,DAVID BALDACCI,https://storage.googleapis.com/du-prd/books/images/9781538719770.jpg,https://www.amazon.com/dp/1538719770?tag=NYTBSREV-20,2022-05-08,Combined Print & E-Book Fiction
2,0,1,9781984821645,Delacorte,A supermodel deals with the effects of a terror attack at an airport in Brussels on her life and appearance.,BEAUTIFUL,DANIELLE STEEL,https://storage.googleapis.com/du-prd/books/images/9781984821645.jpg,https://www.amazon.com/dp/1984821644?tag=NYTBSREV-20,2022-05-08,Combined Print & E-Book Fiction
6,0,1,9780062893048,Morrow,The 16th book in the Sigma Force series. An unknown force is putting people in a catatonic state in a village in the Congo.,KINGDOM OF BONES,JAMES ROLLINS,https://storage.googleapis.com/du-prd/books/images/9780062892980.jpg,https://www.amazon.com/dp/0062892983?tag=NYTBSREV-20,2022-05-08,Combined Print & E-Book Fiction
8,0,1,9781538709818,Grand Central,Detective Walter O’Brien is obsessed with an escape artist who bludgeoned her kidnapper and avoided police custody.,DEATH OF THE BLACK WIDOW,JAMES PATTERSON AND JD BARKER,https://storage.googleapis.com/du-prd/books/images/9781538753095.jpg,https://www.amazon.com/dp/153875309X?tag=NYTBSREV-20,2022-05-08,Combined Print & E-Book Fiction
13,0,1,9781538704370,Forever,A city doctor must choose between her family’s wishes of becoming a world-renowned surgeon or having a life with a ridiculously hot carpenter.,PART OF YOUR WORLD,AB JIMENEZ,https://storage.googleapis.com/du-prd/books/images/9781538704370.jpg,https://www.amazon.com/dp/1538704374?tag=NYTBSREV-20,2022-05-08,Combined Print & E-Book Fiction
1,0,1,9780593328699,Putnam,"Letty Davenport, the adopted daughter of Lucas Davenport, looks into oil thefts in Texas.",THE INVESTIGATOR,JOHN SANDFORD,https://storage.googleapis.com/du-prd/books/images/9780593328682.jpg,https://www.amazon.com/dp/059332868X?tag=NYTBSREV-20,2022-05-01,Combined Print & E-Book Fiction
6,0,5,9781728236414,Sourcebooks Fire,,MY DEAREST DARKEST,KAYLA COTTINGHAM,https://storage.googleapis.com/du-prd/books/images/9781728236414.jpg,https://www.amazon.com/dp/172823641X?tag=NYTBSREV-20,2022-05-01,Young Adult Paperback Monthly
7,0,1,9780062908384,Harper,Chee seeks to solve a mystery that eluded Leaphorn decades ago while Manuelito gets into a life-threatening situation.,THE SACRED BRIDGE,ANNE HILLERMAN,https://storage.googleapis.com/du-prd/books/images/9780062908360.jpg,https://www.amazon.com/dp/0062908367?tag=NYTBSREV-20,2022-05-01,Combined Print & E-Book Fiction
