avg_rating,count_ratings,num_pages,date_published,top_genre
"<span itemprop=""ratingValue"">
  4.48
</span>","<meta content=""1151894"" itemprop=""ratingCount""/>",389 pages,"
            Published
        June 13th 2017
         by Atria Books

      ",Historical
"<span itemprop=""ratingValue"">
  4.42
</span>","<meta content=""1145398"" itemprop=""ratingCount""/>",385 pages,"
            Published
        August 2nd 2016
         by Atria Books

      ",Romance
"<span itemprop=""ratingValue"">
  4.40
</span>","<meta content=""813870"" itemprop=""ratingCount""/>",378 pages,"
            Published
        August 28th 2012
         by Ecco

            ",Historical
"<span itemprop=""ratingValue"">
  4.23
</span>","<meta content=""602808"" itemprop=""ratingCount""/>",444 pages,"
            Published
        October 6th 2020
         by Tor Books

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.10
</span>","<meta content=""628255"" itemprop=""ratingCount""/>",370 pages,"
            Published
        January 2nd 2018
         by Little, Brown Books for Young Readers

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.30
</span>","<meta content=""283140"" itemprop=""ratingCount""/>",622 pages,"
            Published
        March 30th 2020
         by Blue Box Press

            ",Fantasy
"<span itemprop=""ratingValue"">
  4.49
</span>","<meta content=""662008"" itemprop=""ratingCount""/>",465 pages,"
            Published
        September 29th 2015
         by Henry Holt & Company

      ",Fantasy
"<span itemprop=""ratingValue"">
  3.89
</span>","<meta content=""444432"" itemprop=""ratingCount""/>",389 pages,"
            Published
        September 5th 2017
         by Quill Tree Books

      ",Young Adult
"<span itemprop=""ratingValue"">
  4.19
</span>","<meta content=""1004336"" itemprop=""ratingCount""/>",448 pages,"
            Published
        June 2nd 2020
         by Bloomsbury Publishing

            ",Fantasy
"<span itemprop=""ratingValue"">
  4.18
</span>","<meta content=""530327"" itemprop=""ratingCount""/>",448 pages,"
            Published
        May 14th 2019
         by St. Martin's Griffin

      ",Romance
"<span itemprop=""ratingValue"">
  4.34
</span>","<meta content=""509410"" itemprop=""ratingCount""/>",352 pages,"
            Published
        September 14th 2021
         by Berkley Books

      ",Romance
"<span itemprop=""ratingValue"">
  4.25
</span>","<meta content=""633526"" itemprop=""ratingCount""/>",337 pages,"
            Published
        August 5th 2014
         by Atria Books

      ",Romance
"<span itemprop=""ratingValue"">
  3.75
</span>","<meta content=""836738"" itemprop=""ratingCount""/>",242 pages,"
            Published
        May 13th 2014
         by Delacorte Press

      ",Young Adult
"<span itemprop=""ratingValue"">
  4.01
</span>","<meta content=""489727"" itemprop=""ratingCount""/>",364 pages,"
            Published
        May 11th 2021
         by Berkley Books

      ",Romance
"<span itemprop=""ratingValue"">
  4.05
</span>","<meta content=""265051"" itemprop=""ratingCount""/>",487 pages,"
            Published
        February 23rd 2021
         by Elena Armas

      ",Romance
"<span itemprop=""ratingValue"">
  4.03
</span>","<meta content=""468905"" itemprop=""ratingCount""/>",387 pages,"
            Published
        August 9th 2016
         by William Morrow Paperbacks

      ",Romance
"<span itemprop=""ratingValue"">
  4.06
</span>","<meta content=""453812"" itemprop=""ratingCount""/>",361 pages,"
            Published
        May 19th 2020
         by Berkley

      ",Romance
"<span itemprop=""ratingValue"">
  3.96
</span>","<meta content=""732186"" itemprop=""ratingCount""/>",358 pages,"
            Published
        June 5th 2012
         by Henry Holt & Company

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.24
</span>","<meta content=""189667"" itemprop=""ratingCount""/>",376 pages,"
            Published
        September 1st 2020
         by Little, Brown Books for Young Readers

      ",Mystery
"<span itemprop=""ratingValue"">
  3.99
</span>","<meta content=""80767"" itemprop=""ratingCount""/>",449 pages,"
            Published
        November 17th 2020
         by Margaret K. McElderry Books

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.00
</span>","<meta content=""426672"" itemprop=""ratingCount""/>",400 pages,"
            Published
        May 14th 2019
         by Gallery Books

      ",Romance
"<span itemprop=""ratingValue"">
  4.43
</span>","<meta content=""798722"" itemprop=""ratingCount""/>",336 pages,"
            Published
        October 5th 2021
         by Grand Central Publishing

            ",Thriller
"<span itemprop=""ratingValue"">
  4.03
</span>","<meta content=""199546"" itemprop=""ratingCount""/>",513 pages,"
            Published
        September 3rd 2019
         by HarperTeen

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.00
</span>","<meta content=""266849"" itemprop=""ratingCount""/>",407 pages,"
            Published
        January 31st 2017
         by Flatiron Books

            ",Fantasy
"<span itemprop=""ratingValue"">
  4.26
</span>","<meta content=""675806"" itemprop=""ratingCount""/>",393 pages,"
            Published
        April 10th 2018
         by Little, Brown and Company

      ",Fantasy
"<span itemprop=""ratingValue"">
  3.97
</span>","<meta content=""123489"" itemprop=""ratingCount""/>",372 pages,"
            Published
        October 27th 2020
         by JIMMY Patterson Books

      ",Fantasy
"<span itemprop=""ratingValue"">
  3.88
</span>","<meta content=""217569"" itemprop=""ratingCount""/>",343 pages,"
            Published
        October 21st 2016
         by Penelope Douglas LLC 

            ",Romance
"<span itemprop=""ratingValue"">
  4.23
</span>","<meta content=""57232"" itemprop=""ratingCount""/>",512 pages,"
            Published
        August 7th 2018
         by Henry Holt and Co. (BYR)

      ",Fantasy
"<span itemprop=""ratingValue"">
  3.90
</span>","<meta content=""114301"" itemprop=""ratingCount""/>",326 pages,"
            Published
        February 25th 2020
         by Feiwel and Friends

      ",Fantasy
"<span itemprop=""ratingValue"">
  3.85
</span>","<meta content=""111310"" itemprop=""ratingCount""/>",282 pages,"
            Published
        April 2020
         by Scarlett St. Clair

            ",Fantasy
"<span itemprop=""ratingValue"">
  3.92
</span>","<meta content=""454213"" itemprop=""ratingCount""/>",338 pages,"
            Published
        November 15th 2011
         by Harper

      ",Young Adult
"<span itemprop=""ratingValue"">
  4.37
</span>","<meta content=""271091"" itemprop=""ratingCount""/>",433 pages,"
            Published
        May 2nd 2019
         by Electric Monkey

      ",Mystery
"<span itemprop=""ratingValue"">
  4.03
</span>","<meta content=""796022"" itemprop=""ratingCount""/>",388 pages,"
            Published
        February 10th 2015
         by HarperTeen

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.05
</span>","<meta content=""976579"" itemprop=""ratingCount""/>",288 pages,"
            Published
        September 29th 2020
         by Viking

            ",Fiction
"<span itemprop=""ratingValue"">
  4.48
</span>","<meta content=""270709"" itemprop=""ratingCount""/>",803 pages,"
            Published
        March 3rd 2020
         by Bloomsbury Publishing

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.19
</span>","<meta content=""844741"" itemprop=""ratingCount""/>",406 pages,"
            Published
        August 7th 2012
         by Bloomsbury USA Children's

            ",Fantasy
"<span itemprop=""ratingValue"">
  3.95
</span>","<meta content=""58799"" itemprop=""ratingCount""/>",472 pages,"
            Published
        May 14th 2019
         by Farrar, Straus and Giroux

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.02
</span>","<meta content=""113110"" itemprop=""ratingCount""/>",311 pages,"
            Published
        February 28th 2017
         by Feiwel  and Friends

      ",Fantasy
"<span itemprop=""ratingValue"">
  4.24
</span>","<meta content=""612216"" itemprop=""ratingCount""/>",355 pages,"
            Published
        March 5th 2019
         by Ballantine Books

      ",Fiction
"<span itemprop=""ratingValue"">
  4.61
</span>","<meta content=""716008"" itemprop=""ratingCount""/>",624 pages,"
            Published
        June 2nd 2020
         by Bloomsbury Publishing

            ",Fantasy
