num_pages,top_genre
274 pages,Romance
601 pages,Fantasy
515 pages,Fantasy
391 pages,Historical
408 pages,Romance
452 pages,Fantasy
240 pages,Fantasy
704 pages,Fantasy
429 pages,Fantasy
320 pages,Romance
278 pages,Fantasy
None,Romance
344 pages,Romance
676 pages,Romance
512 pages,Fantasy
512 pages,Fantasy
176 pages,Romance
480 pages,Fantasy
489 pages,Dark
326 pages,Romance
324 pages,Romance
386 pages,Romance
234 pages,Romance
400 pages,Fantasy
400 pages,Romance
604 pages,Romance
302 pages,Dark
None,Romance
561 pages,Fantasy
316 pages,Fantasy
385 pages,Romance
423 pages,Fantasy
355 pages,Romance
587 pages,Romance
441 pages,Romance
400 pages,Polyamorous
292 pages,Romance
336 pages,Young Adult
260 pages,Fiction
336 pages,Romance
368 pages,Romance
542 pages,Romance
465 pages,Fantasy
251 pages,Nonfiction
630 pages,Fantasy
433 pages,Contemporary
384 pages,Horror
513 pages,Historical
549 pages,Fantasy
198 pages,Fiction
458 pages,Fantasy
330 pages,Fiction
608 pages,Fantasy
336 pages,Fantasy
355 pages,Fantasy
224 pages,Young Adult
672 pages,Romance
566 pages,Fantasy
350 pages,Romance
338 pages,Fantasy
330 pages,Romance
332 pages,Romance
141 pages,Romance
116 pages,Romance
127 pages,Romance
512 pages,Fantasy
314 pages,Romance
342 pages,Romance
377 pages,Fantasy
177 pages,Science Fiction
219 pages,Romance
250 pages,Romance
314 pages,Dark
299 pages,Polyamorous
724 pages,Fantasy
384 pages,Romance
304 pages,Fiction
265 pages,Romance
320 pages,Polyamorous
423 pages,Romance
336 pages,Romance
448 pages,Romance
292 pages,Romance
None,Horror
352 pages,Romance
610 pages,Romance
467 pages,Fiction
176 pages,Fiction
261 pages,Dark
432 pages,Fantasy
352 pages,Romance
475 pages,Fantasy
464 pages,Fantasy
535 pages,Fantasy
304 pages,Nonfiction
391 pages,Romance
466 pages,Romance
560 pages,Fantasy
280 pages,Fantasy
50 pages,Fantasy
436 pages,Fantasy
827 pages,Fantasy
552 pages,Fantasy
516 pages,Fantasy
384 pages,Young Adult
336 pages,Young Adult
376 pages,Romance
466 pages,Fantasy
359 pages,Fantasy
332 pages,Young Adult
256 pages,Romance
712 pages,Romance
139 pages,Romance
282 pages,Romance
None,Dark
None,Romance
230 pages,Dark
580 pages,Romance
None,Romance
None,Romance
369 pages,Romance
400 pages,Romance
448 pages,Romance
360 pages,Romance
320 pages,Dark
304 pages,Polyamorous
395 pages,Romance
493 pages,Romance
886 pages,Fantasy
327 pages,Romance
117 pages,Romance
739 pages,Fantasy
396 pages,Romance
436 pages,Romance
513 pages,Romance
279 pages,Dark
368 pages,Romance
None,Fantasy
380 pages,Romance
594 pages,Polyamorous
548 pages,Polyamorous
369 pages,Romance
448 pages,Polyamorous
336 pages,Romance
393 pages,Romance
250 pages,Romance
432 pages,Fantasy
373 pages,Contemporary
210 pages,Polyamorous
337 pages,Mystery
384 pages,Fantasy
336 pages,Romance
592 pages,Fantasy
304 pages,Young Adult
437 pages,Fantasy
479 pages,Romance
390 pages,Fantasy
436 pages,Fantasy
308 pages,Mystery
432 pages,Fantasy
355 pages,Fantasy
341 pages,Romance
560 pages,Polyamorous
564 pages,Polyamorous
400 pages,Romance
343 pages,Fantasy
989 pages,Fantasy
112 pages,Romance
124 pages,Romance
385 pages,Romance
680 pages,LGBT
334 pages,Romance
412 pages,Romance
322 pages,Fantasy
354 pages,Romance
452 pages,Romance
280 pages,Polyamorous
None,Dark
337 pages,Romance
204 pages,Poetry
363 pages,Romance
304 pages,Romance
274 pages,Romance
528 pages,Romance
464 pages,Fantasy
625 pages,Polyamorous
336 pages,Romance
114 pages,Romance
386 pages,Romance
464 pages,Fantasy
288 pages,Romance
342 pages,Romance
308 pages,Fantasy
384 pages,Romance
294 pages,Romance
320 pages,Fantasy
530 pages,Fantasy
337 pages,Fiction
344 pages,Fantasy
317 pages,Romance
402 pages,Romance
451 pages,Romance
488 pages,Fantasy
288 pages,Fiction
384 pages,Young Adult
393 pages,Romance
334 pages,Nonfiction
390 pages,Fantasy
512 pages,Young Adult
480 pages,Young Adult
427 pages,Fantasy
309 pages,Fantasy
464 pages,Fantasy
413 pages,Fantasy
496 pages,Fantasy
552 pages,Romance
384 pages,Fantasy
350 pages,Romance
None,Romance
350 pages,Romance
356 pages,Romance
424 pages,Fantasy
306 pages,Fantasy
307 pages,Romance
221 pages,Polyamorous
89 pages,Romance
225 pages,Dark
272 pages,Romance
518 pages,Romance
502 pages,Fantasy
324 pages,Fantasy
446 pages,Romance
484 pages,Romance
384 pages,Romance
520 pages,Fantasy
163 pages,Fiction
300 pages,Fantasy
285 pages,Romance
306 pages,Polyamorous
420 pages,Fantasy
371 pages,Polyamorous
288 pages,Fantasy
398 pages,Fantasy
416 pages,Fantasy
180 pages,Classics
939 pages,Fantasy
288 pages,Nonfiction
320 pages,Young Adult
333 pages,Nonfiction
329 pages,Mystery
356 pages,Fiction
334 pages,Nonfiction
384 pages,Fantasy
293 pages,Young Adult
312 pages,Dark
278 pages,Thriller
292 pages,Fantasy
400 pages,Fantasy
544 pages,Fantasy
645 pages,Fantasy
312 pages,Romance
290 pages,Science Fiction
386 pages,Romance
352 pages,Fantasy
360 pages,Fantasy
418 pages,Romance
159 pages,Fiction
423 pages,Fantasy
384 pages,Fantasy
372 pages,Romance
352 pages,Fantasy
455 pages,Young Adult
465 pages,Fantasy
281 pages,Romance
428 pages,Romance
276 pages,Fantasy
406 pages,Fantasy
342 pages,Fantasy
541 pages,Fantasy
553 pages,Fantasy
488 pages,Young Adult
400 pages,Fantasy
432 pages,Young Adult
342 pages,Thriller
444 pages,Young Adult
336 pages,Mystery
314 pages,Fantasy
474 pages,Fantasy
295 pages,Romance
375 pages,Romance
366 pages,Polyamorous
416 pages,Fantasy
336 pages,Romance
368 pages,Romance
334 pages,Fantasy
None,Dark
362 pages,Romance
692 pages,Romance
364 pages,Romance
386 pages,Romance
420 pages,Romance
373 pages,Fiction
306 pages,Romance
None,Romance
336 pages,Fantasy
414 pages,Romance
288 pages,Romance
323 pages,Contemporary Romance
507 pages,Romance
220 pages,Romance
388 pages,Romance
188 pages,Romance
318 pages,Romance
294 pages,Short Stories
823 pages,Fantasy
70 pages,Fantasy
483 pages,Romance
342 pages,Romance
354 pages,Romance
610 pages,Romance
428 pages,Paranormal
296 pages,Erotica
252 pages,Romance
414 pages,Romance
373 pages,Romance
311 pages,Thriller
330 pages,Romance
705 pages,Fantasy
208 pages,Nonfiction
303 pages,Fiction
191 pages,Romance
288 pages,Fiction
366 pages,Polyamorous
310 pages,Nonfiction
410 pages,Romance
322 pages,Romance
337 pages,Fiction
360 pages,Romance
338 pages,Fiction
432 pages,Fantasy
594 pages,Fantasy
400 pages,Contemporary
352 pages,Fantasy
368 pages,Romance
260 pages,Fantasy
448 pages,Historical
469 pages,Romance
360 pages,Fantasy
352 pages,Fantasy
412 pages,Polyamorous
342 pages,Romance
231 pages,Romance
433 pages,Fantasy
462 pages,Fantasy
512 pages,Fantasy
387 pages,Thriller
555 pages,Fantasy
516 pages,Fantasy
429 pages,Fantasy
702 pages,Romance
333 pages,Fiction
254 pages,Mystery
192 pages,Fiction
291 pages,Fiction
766 pages,Fantasy
336 pages,Fantasy
368 pages,Fantasy
559 pages,Fantasy
329 pages,Romance
445 pages,Romance
352 pages,Romance
432 pages,Fantasy
290 pages,Thriller
406 pages,Mystery
314 pages,LGBT
368 pages,Fantasy
319 pages,Nonfiction
658 pages,Fantasy
454 pages,Young Adult
378 pages,Romance
394 pages,Romance
684 pages,Fantasy
368 pages,Fantasy
288 pages,Fantasy
850 pages,Historical
