title_and_specs,author,urls,avg_rating,num_ratings,date_published,booktok_popularity,num_pages,top_genre,title,series_format,rank,rank_last_week,weeks_on_list,primary_isbn13,publisher,description,book_image,amazon_product_url,week,nyt_list
The Seven Husbands of Evelyn Hugo (Hardcover),TAYLOR JENKINS REID,https://www.goodreads.com/book/show/32620332-the-seven-husbands-of-evelyn-hugo,4.48,"                1,155,356",2017,1.0,389,Historical,THE SEVEN HUSBANDS OF EVELYN HUGO,Hardcover,12.0,0.0,1.0,9781501161933,Washington Square,A movie icon recounts stories of her loves and career to a struggling magazine writer.,https://storage.googleapis.com/du-prd/books/images/9781501161933.jpg,https://www.amazon.com/dp/1501161938?tag=NYTBSREV-20,2021-07-11,Combined Print & E-Book Fiction
It Ends with Us (Kindle Edition),COLLEEN HOOVER,https://www.goodreads.com/book/show/27362503-it-ends-with-us,4.42,"                1,149,821",2016,2.0,385,Romance,IT ENDS WITH US,Kindle Edition,7.0,0.0,1.0,9781501110375,Atria,A battered wife raised in a violent home attempts to halt the cycle of abuse.,https://storage.googleapis.com/du-prd/books/images/9781501110375.jpg,http://www.amazon.com/Ends-Us-Novel-Colleen-Hoover-ebook/dp/B0176M3U10?tag=NYTBSREV-20,2016-08-21,Combined Print & E-Book Fiction
The Song of Achilles (Paperback),MADELINE MILLER,https://www.goodreads.com/book/show/13623848-the-song-of-achilles,4.4,"                815,625",2011,3.0,378,Historical,THE SONG OF ACHILLES,Paperback,15.0,0.0,1.0,9780062060624,Ecco,A reimagining of Homer’s “Iliad” that is narrated by Achilles' companion Patroclus.,https://storage.googleapis.com/du-prd/books/images/9780062060624.jpg,http://www.amazon.com/The-Song-Achilles-A-Novel/dp/0062060627?tag=NYTBSREV-20,2021-04-04,Combined Print & E-Book Fiction
The Invisible Life of Addie LaRue (Hardcover),VE SCHWAB,https://www.goodreads.com/book/show/50623864-the-invisible-life-of-addie-larue,4.23,"                603,813",2020,4.0,444,Fantasy,THE INVISIBLE LIFE OF ADDIE LARUE,Hardcover,5.0,0.0,1.0,9780765387561,Tor/Forge,A Faustian bargain comes with a curse that affects the adventure Addie LaRue has across centuries.,https://storage.googleapis.com/du-prd/books/images/9780765387561.jpg,https://www.amazon.com/dp/0765387565?tag=NYTBSREV-20,2020-10-25,Combined Print & E-Book Fiction
"The Cruel Prince (The Folk of the Air, #1)",HOLLY BLACK,https://www.goodreads.com/book/show/26032825-the-cruel-prince,4.1,"                629,204",2018,5.0,370,Fantasy,THE CRUEL PRINCE,"The Folk of the Air, #1",3.0,0.0,1.0,9780316310277,"Little, Brown","Jude, a human raised by faeries, resolves to become a member of the High Court of Faerie.",https://storage.googleapis.com/du-prd/books/images/9780316310277.jpg,https://www.amazon.com/Cruel-Prince-Folk-Air/dp/0316310271?tag=NYTBSREV-20,2018-01-21,Young Adult Hardcover
"From Blood and Ash (Blood and Ash, #1)",JENNIFER L ARMENTROUT,https://www.goodreads.com/book/show/52831200-from-blood-and-ash,4.3,"                283,553",2020,6.0,622,Fantasy,FROM BLOOD AND ASH,"Blood and Ash, #1",,,,,,,,,,
"Six of Crows (Six of Crows, #1)",LEIGH BARDUGO,https://www.goodreads.com/book/show/23437156-six-of-crows,4.49,"                662,527",2015,7.0,465,Fantasy,SIX OF CROWS,"Six of Crows, #1",1.0,0.0,1.0,9781627792127,Holt,A criminal prodigy assembles a fractious team to pull off a life-changing heist.,https://storage.googleapis.com/du-prd/books/images/9781627792127.jpg,http://www.amazon.com/Six-Crows-Leigh-Bardugo/dp/1627792120?tag=NYTBSREV-20,2015-10-18,Young Adult Hardcover
They Both Die at the End (Hardcover),ADAM SILVERA,https://www.goodreads.com/book/show/33385229-they-both-die-at-the-end,3.89,"                445,267",2017,8.0,389,Young Adult,THEY BOTH DIE AT THE END,Hardcover,5.0,0.0,1.0,9780062457790,HarperTeen,"Through an app, two young people meet up on the last day of their lives.",https://storage.googleapis.com/du-prd/books/images/9780062457790.jpg,https://www.amazon.com/They-Both-Die-at-End/dp/0062457799?tag=NYTBSREV-20,2017-09-24,Young Adult Hardcover
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",SARAH J MAAS,https://www.goodreads.com/book/show/50659467-a-court-of-thorns-and-roses,4.19,"                1,005,547",2015,9.0,448,Fantasy,A COURT OF THORNS AND ROSES,"A Court of Thorns and Roses, #1",,,,,,,,,,
"Red, White & Royal Blue (Paperback)",CASEY MCQUISTON,https://www.goodreads.com/book/show/41150487-red-white-royal-blue,4.18,"                531,232",2019,10.0,448,Romance,"RED, WHITE & ROYAL BLUE",Paperback,,,,,,,,,,
The Love Hypothesis (Paperback),ALI HAZELWOOD,https://www.goodreads.com/book/show/56732449-the-love-hypothesis,4.34,"                511,779",2021,11.0,352,Romance,THE LOVE HYPOTHESIS,Paperback,11.0,0.0,1.0,9780593336830,Berkley,A young professor agrees to pretend to be a third-year Ph.D. candidate’s boyfriend.,https://storage.googleapis.com/du-prd/books/images/9780593336823.jpg,https://www.amazon.com/dp/0593336828?tag=NYTBSREV-20,2021-10-03,Combined Print & E-Book Fiction
Ugly Love (Kindle Edition),COLLEEN HOOVER,https://www.goodreads.com/book/show/17788401-ugly-love,4.25,"                636,023",2014,12.0,337,Romance,UGLY LOVE,Kindle Edition,6.0,0.0,1.0,9781476753195,Atria,"Tate Collins and Miles Archer, an airline pilot, think they can handle a no strings attached arrangement. But they can't.",https://storage.googleapis.com/du-prd/books/images/9781476753195.jpg,http://www.amazon.com/Ugly-Love-Novel-Colleen-Hoover-ebook/dp/B00HB62MC0?tag=NYTBSREV-20,2014-08-24,Combined Print & E-Book Fiction
We Were Liars (Kindle Edition),E LOCKHART,https://www.goodreads.com/book/show/16143347-we-were-liars,3.75,"                837,692",2014,13.0,242,Young Adult,WE WERE LIARS,Kindle Edition,5.0,0.0,1.0,9780385741262,Delacorte,Four friends decamp to a private island off Martha's Vineyard.,https://storage.googleapis.com/du-prd/books/images/9780375984402.jpg,http://www.amazon.com/We-Were-Liars-E-Lockhart-ebook/dp/B00FPOSDGY?tag=NYTBSREV-20,2015-08-30,Young Adult Hardcover
People We Meet on Vacation (Paperback),EMILY HENRY,https://www.goodreads.com/book/show/54985743-people-we-meet-on-vacation,4.01,"                491,516",2021,14.0,364,Romance,PEOPLE WE MEET ON VACATION,Paperback,5.0,0.0,1.0,9781984806758,Berkley,Opposites Poppy and Alex meet to vacation together one more time in hopes of saving their relationship.,https://storage.googleapis.com/du-prd/books/images/9781984806758.jpg,https://www.amazon.com/dp/1984806750?tag=NYTBSREV-20,2021-05-30,Combined Print & E-Book Fiction
The Spanish Love Deception (ebook),ELENA ARMAS,https://www.goodreads.com/book/show/54189398-the-spanish-love-deception,4.05,"                266,185",2021,15.0,487,Romance,THE SPANISH LOVE DECEPTION,ebook,13.0,0.0,1.0,9781668002520,Atria,Catalina’s insufferable colleague Aaron agrees to be her fake date to her sister’s wedding.,https://storage.googleapis.com/du-prd/books/images/9781668002520.jpg,https://www.amazon.com/dp/1668002523?tag=NYTBSREV-20,2022-02-27,Combined Print & E-Book Fiction
The Hating Game (ebook),SALLY THORNE,https://www.goodreads.com/book/show/25883848-the-hating-game,4.02,"                469,656",2016,16.0,387,Romance,THE HATING GAME,ebook,,,,,,,,,,
Beach Read (Paperback),EMILY HENRY,https://www.goodreads.com/book/show/52867387-beach-read,4.06,"                455,261",2020,17.0,361,Romance,BEACH READ,Paperback,12.0,0.0,1.0,9781984806741,Berkley,A relationship develops between a literary fiction author and a romance novelist as they both try to overcome writer’s block.,https://storage.googleapis.com/du-prd/books/images/9781984806734.jpg,https://www.amazon.com/dp/1984806734?tag=NYTBSREV-20,2020-06-07,Combined Print & E-Book Fiction
"Shadow and Bone (The Shadow and Bone Trilogy, #1)",LEIGH BARDUGO,https://www.goodreads.com/book/show/10194157-shadow-and-bone,3.96,"                732,800",2012,18.0,358,Fantasy,SHADOW AND BONE,"The Shadow and Bone Trilogy, #1",,,,,,,,,,
"The Inheritance Games (The Inheritance Games, #1)",JENNIFER LYNN BARNES,https://www.goodreads.com/book/show/52439531-the-inheritance-games,4.24,"                190,264",2020,19.0,376,Mystery,THE INHERITANCE GAMES,"The Inheritance Games, #1",9.0,0.0,1.0,9780759554085,"Little, Brown",Avery Grambs must solve a multilayered puzzle to find out why she’s the recipient of a billionaire’s inheritance.,https://storage.googleapis.com/du-prd/books/images/9780759554085.jpg,https://www.amazon.com/dp/1368052401?tag=NYTBSREV-20,2020-09-20,Young Adult Hardcover
These Violent Delights (These Violent Delights #1),CHLOE GONG,https://www.goodreads.com/book/show/50892212-these-violent-delights,3.99,"                80,944",2020,20.0,449,Fantasy,THESE VIOLENT DELIGHTS,These Violent Delights #1,3.0,0.0,1.0,9781534457690,Margaret K. McElderry,A reimagining of Romeo and Juliet set in 1920s Shanghai.,https://storage.googleapis.com/du-prd/books/images/9781534457690.jpg,https://www.amazon.com/dp/1534457690?tag=NYTBSREV-20,2020-12-06,Young Adult Hardcover
The Unhoneymooners (Paperback),CHRISTINA LAUREN,https://www.goodreads.com/book/show/42201431-the-unhoneymooners,4.0,"                427,700",2019,21.0,400,Romance,THE UNHONEYMOONERS,Paperback,15.0,0.0,1.0,9781501128042,Gallery,"When food poisoning spoils a wedding, Olive Torres goes with the best man — who is also her nemesis — on her twin sister’s honeymoon.",https://storage.googleapis.com/du-prd/books/images/9781501128042.jpg,https://www.amazon.com/Unhoneymooners-Christina-Lauren-ebook/dp/B07MGS7HF1?tag=NYTBSREV-20,2019-06-02,Combined Print & E-Book Fiction
