title,author,urls,avg_rating,num_ratings,date_published,booktok_popularity
The Seven Husbands of Evelyn Hugo (Hardcover),Taylor Jenkins Reid,https://www.goodreads.com/book/show/32620332-the-seven-husbands-of-evelyn-hugo,4.48,"                1,155,356",2017,0
It Ends with Us (Kindle Edition),Colleen Hoover,https://www.goodreads.com/book/show/27362503-it-ends-with-us,4.42,"                1,149,821",2016,1
The Song of Achilles (Paperback),Madeline Miller,https://www.goodreads.com/book/show/13623848-the-song-of-achilles,4.40,"                815,625",2011,2
The Invisible Life of Addie LaRue (Hardcover),V.E. Schwab,https://www.goodreads.com/book/show/50623864-the-invisible-life-of-addie-larue,4.23,"                603,813",2020,3
"The Cruel Prince (The Folk of the Air, #1)",Holly Black,https://www.goodreads.com/book/show/26032825-the-cruel-prince,4.10,"                629,204",2018,4
"From Blood and Ash (Blood and Ash, #1)",Jennifer L. Armentrout,https://www.goodreads.com/book/show/52831200-from-blood-and-ash,4.30,"                283,553",2020,5
"Six of Crows (Six of Crows, #1)",Leigh Bardugo,https://www.goodreads.com/book/show/23437156-six-of-crows,4.49,"                662,527",2015,6
They Both Die at the End (Hardcover),Adam Silvera,https://www.goodreads.com/book/show/33385229-they-both-die-at-the-end,3.89,"                445,267",2017,7
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,https://www.goodreads.com/book/show/50659467-a-court-of-thorns-and-roses,4.19,"                1,005,547",2015,8
"Red, White & Royal Blue (Paperback)",Casey McQuiston,https://www.goodreads.com/book/show/41150487-red-white-royal-blue,4.18,"                531,232",2019,9
The Love Hypothesis (Paperback),Ali Hazelwood,https://www.goodreads.com/book/show/56732449-the-love-hypothesis,4.34,"                511,779",2021,10
Ugly Love (Kindle Edition),Colleen Hoover,https://www.goodreads.com/book/show/17788401-ugly-love,4.25,"                636,023",2014,11
We Were Liars (Kindle Edition),E. Lockhart,https://www.goodreads.com/book/show/16143347-we-were-liars,3.75,"                837,692",2014,12
People We Meet on Vacation (Paperback),Emily Henry,https://www.goodreads.com/book/show/54985743-people-we-meet-on-vacation,4.01,"                491,516",2021,13
The Spanish Love Deception (ebook),Elena Armas,https://www.goodreads.com/book/show/54189398-the-spanish-love-deception,4.05,"                266,185",2021,14
The Hating Game (ebook),Sally Thorne,https://www.goodreads.com/book/show/25883848-the-hating-game,4.02,"                469,656",2016,15
Beach Read (Paperback),Emily Henry,https://www.goodreads.com/book/show/52867387-beach-read,4.06,"                455,261",2020,16
"Shadow and Bone (The Shadow and Bone Trilogy, #1)",Leigh Bardugo,https://www.goodreads.com/book/show/10194157-shadow-and-bone,3.96,"                732,800",2012,17
"The Inheritance Games (The Inheritance Games, #1)",Jennifer Lynn Barnes,https://www.goodreads.com/book/show/52439531-the-inheritance-games,4.24,"                190,264",2020,18
These Violent Delights (These Violent Delights #1),Chloe Gong,https://www.goodreads.com/book/show/50892212-these-violent-delights,3.99,"                80,944",2020,19
The Unhoneymooners (Paperback),Christina Lauren,https://www.goodreads.com/book/show/42201431-the-unhoneymooners,4.00,"                427,700",2019,20
Verity (ebook),Colleen Hoover,https://www.goodreads.com/book/show/59344312-verity,4.43,"                802,261",2018,21
"Serpent & Dove (Serpent & Dove, #1)",Shelby Mahurin,https://www.goodreads.com/book/show/40024139-serpent-dove,4.03,"                199,859",2019,22
"Caraval (Caraval, #1)",Stephanie Garber,https://www.goodreads.com/book/show/27883214-caraval,4.00,"                267,208",2016,23
Circe (Hardcover),Madeline Miller,https://www.goodreads.com/book/show/35959740-circe,4.26,"                676,655",2018,24
"Kingdom of the Wicked (Kingdom of the Wicked, #1)",Kerri Maniscalco,https://www.goodreads.com/book/show/52735921-kingdom-of-the-wicked,3.97,"                123,856",2020,25
Punk 57 (Kindle Edition),Penelope Douglas,https://www.goodreads.com/book/show/41021967-punk-57,3.88,"                217,951",2016,26
"Dance of Thieves (Dance of Thieves, #1)",Mary E. Pearson,https://www.goodreads.com/book/show/35796008-dance-of-thieves,4.23,"                57,370",2018,27
"The Shadows Between Us (The Shadows Between Us, #1)",Tricia Levenseller,https://www.goodreads.com/book/show/35702241-the-shadows-between-us,3.90,"                114,496",2020,28
"A Touch of Darkness (Hades & Persephone, #1)",Scarlett St. Clair,https://www.goodreads.com/book/show/55215339-a-touch-of-darkness,3.85,"                111,686",2019,29
