title_and_specs,author,urls,avg_rating,num_ratings,date_published,booktok_popularity,num_pages,top_genre,title,series_format
The Seven Husbands of Evelyn Hugo (Hardcover),TAYLOR JENKINS REID,https://www.goodreads.com/book/show/32620332-the-seven-husbands-of-evelyn-hugo,4.48,"                1,155,356",2017,1,389,Historical,THE SEVEN HUSBANDS OF EVELYN HUGO,Hardcover
It Ends with Us (Kindle Edition),COLLEEN HOOVER,https://www.goodreads.com/book/show/27362503-it-ends-with-us,4.42,"                1,149,821",2016,2,385,Romance,IT ENDS WITH US,Kindle Edition
The Song of Achilles (Paperback),MADELINE MILLER,https://www.goodreads.com/book/show/13623848-the-song-of-achilles,4.4,"                815,625",2011,3,378,Historical,THE SONG OF ACHILLES,Paperback
The Invisible Life of Addie LaRue (Hardcover),VE SCHWAB,https://www.goodreads.com/book/show/50623864-the-invisible-life-of-addie-larue,4.23,"                603,813",2020,4,444,Fantasy,THE INVISIBLE LIFE OF ADDIE LARUE,Hardcover
"The Cruel Prince (The Folk of the Air, #1)",HOLLY BLACK,https://www.goodreads.com/book/show/26032825-the-cruel-prince,4.1,"                629,204",2018,5,370,Fantasy,THE CRUEL PRINCE,"The Folk of the Air, #1"
"From Blood and Ash (Blood and Ash, #1)",JENNIFER L ARMENTROUT,https://www.goodreads.com/book/show/52831200-from-blood-and-ash,4.3,"                283,553",2020,6,622,Fantasy,FROM BLOOD AND ASH,"Blood and Ash, #1"
"Six of Crows (Six of Crows, #1)",LEIGH BARDUGO,https://www.goodreads.com/book/show/23437156-six-of-crows,4.49,"                662,527",2015,7,465,Fantasy,SIX OF CROWS,"Six of Crows, #1"
They Both Die at the End (Hardcover),ADAM SILVERA,https://www.goodreads.com/book/show/33385229-they-both-die-at-the-end,3.89,"                445,267",2017,8,389,Young Adult,THEY BOTH DIE AT THE END,Hardcover
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",SARAH J MAAS,https://www.goodreads.com/book/show/50659467-a-court-of-thorns-and-roses,4.19,"                1,005,547",2015,9,448,Fantasy,A COURT OF THORNS AND ROSES,"A Court of Thorns and Roses, #1"
"Red, White & Royal Blue (Paperback)",CASEY MCQUISTON,https://www.goodreads.com/book/show/41150487-red-white-royal-blue,4.18,"                531,232",2019,10,448,Romance,"RED, WHITE & ROYAL BLUE",Paperback
The Love Hypothesis (Paperback),ALI HAZELWOOD,https://www.goodreads.com/book/show/56732449-the-love-hypothesis,4.34,"                511,779",2021,11,352,Romance,THE LOVE HYPOTHESIS,Paperback
