Category: All categories

Country,booktok: (1/1/20 - 6/16/22)
Norway,100
Canada,86
Portugal,83
Denmark,78
Czechia,76
Singapore,75
Netherlands,75
Australia,65
New Zealand,63
United Arab Emirates,57
Belgium,57
Philippines,57
Ireland,55
United States,52
United Kingdom,47
Sweden,44
South Africa,44
Romania,42
Italy,42
Greece,38
Chile,38
Malaysia,33
Brazil,29
Bulgaria,28
Argentina,27
Slovakia,26
Spain,26
Switzerland,25
France,22
Austria,21
Germany,21
Colombia,18
Peru,16
Mexico,14
Venezuela,14
Ecuador,11
Poland,9
Turkey,6
India,6
Indonesia,5
Taiwan,
San Marino,
U.S. Virgin Islands,
Isle of Man,
Antigua & Barbuda,
Maldives,
Guernsey,
Cayman Islands,
Barbados,
Bhutan,
Guadeloupe,
Mauritius,
Brunei,
Fiji,
Réunion,
Suriname,
Iceland,
China,
Madagascar,
Lebanon,
Malta,
Albania,
North Macedonia,
Georgia,
Burkina Faso,
Uruguay,
Puerto Rico,
Dominican Republic,
Haiti,
Senegal,
Honduras,
Panama,
Slovenia,
Palestine,
Jamaica,
Kuwait,
Mozambique,
Costa Rica,
Latvia,
Finland,
Serbia,
Cuba,
Cyprus,
Estonia,
Hungary,
Tunisia,
Croatia,
Hong Kong,
Morocco,
Paraguay,
Luxembourg,
Kenya,
Israel,
Qatar,
Libya,
Nicaragua,
Bolivia,
Guatemala,
Azerbaijan,
Côte d’Ivoire,
Armenia,
Nepal,
Algeria,
Saudi Arabia,
Egypt,
Lithuania,
Oman,
Cambodia,
El Salvador,
Bosnia & Herzegovina,
Bangladesh,
Pakistan,
Nigeria,
South Korea,
Iran,
Kazakhstan,
Vietnam,
Russia,
Japan,
Thailand,
Aruba,
Afghanistan,
Angola,
Anguilla,
Åland Islands,
Andorra,
American Samoa,
Antarctica,
French Southern Territories,
Burundi,
Benin,
Caribbean Netherlands,
Bahrain,
Bahamas,
St. Barthélemy,
Belarus,
Belize,
Bermuda,
Bouvet Island,
Botswana,
Central African Republic,
Cocos (Keeling) Islands,
Cameroon,
Congo - Kinshasa,
Congo - Brazzaville,
Cook Islands,
Comoros,
Cape Verde,
Curaçao,
Christmas Island,
Djibouti,
Dominica,
Eritrea,
Western Sahara,
Ethiopia,
Falkland Islands (Islas Malvinas),
Faroe Islands,
Micronesia,
Gabon,
Ghana,
Gibraltar,
Guinea,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Grenada,
Greenland,
French Guiana,
Guam,
Guyana,
Heard & McDonald Islands,
British Indian Ocean Territory,
Iraq,
Jersey,
Jordan,
Kyrgyzstan,
Kiribati,
St. Kitts & Nevis,
Laos,
Liberia,
St. Lucia,
Liechtenstein,
Sri Lanka,
Lesotho,
Macao,
St. Martin,
Monaco,
Moldova,
Marshall Islands,
Mali,
Myanmar (Burma),
Montenegro,
Mongolia,
Northern Mariana Islands,
Mauritania,
Montserrat,
Martinique,
Malawi,
Mayotte,
Namibia,
New Caledonia,
Niger,
Norfolk Island,
Niue,
Nauru,
Pitcairn Islands,
Palau,
Papua New Guinea,
North Korea,
French Polynesia,
Rwanda,
Sudan,
South Georgia & South Sandwich Islands,
St. Helena,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
Somalia,
St. Pierre & Miquelon,
South Sudan,
São Tomé & Príncipe,
Eswatini,
Sint Maarten,
Seychelles,
Syria,
Turks & Caicos Islands,
Chad,
Togo,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Trinidad & Tobago,
Tuvalu,
Tanzania,
Uganda,
Ukraine,
U.S. Outlying Islands,
Uzbekistan,
Vatican City,
St. Vincent & Grenadines,
British Virgin Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
Zambia,
Zimbabwe,
