,title,author
0,The Seven Husbands of Evelyn Hugo (Hardcover),Taylor Jenkins Reid
1,It Ends with Us (Kindle Edition),Colleen Hoover
2,The Song of Achilles (Paperback),Madeline Miller
3,The Invisible Life of Addie LaRue (Hardcover),V.E. Schwab
4,"The Cruel Prince (The Folk of the Air, #1)",Holly Black
5,"From Blood and Ash (Blood and Ash, #1)",Jennifer L. Armentrout
6,"Six of Crows (Six of Crows, #1)",Leigh Bardugo
7,They Both Die at the End (Hardcover),Adam Silvera
8,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas
9,"Red, White & Royal Blue (Paperback)",Casey McQuiston
10,The Love Hypothesis (Paperback),Ali Hazelwood
11,Ugly Love (Kindle Edition),Colleen Hoover
12,We Were Liars (Kindle Edition),E. Lockhart
13,People We Meet on Vacation (Paperback),Emily Henry
14,The Spanish Love Deception (ebook),Elena Armas
15,The Hating Game (ebook),Sally Thorne
16,Beach Read (Paperback),Emily Henry
17,"Shadow and Bone (The Shadow and Bone Trilogy, #1)",Leigh Bardugo
18,"The Inheritance Games (The Inheritance Games, #1)",Jennifer Lynn Barnes
19,These Violent Delights (These Violent Delights #1),Chloe Gong
20,The Unhoneymooners (Paperback),Christina Lauren
21,Verity (ebook),Colleen Hoover
22,"Serpent & Dove (Serpent & Dove, #1)",Shelby Mahurin
23,"Caraval (Caraval, #1)",Stephanie Garber
24,Circe (Hardcover),Madeline Miller
25,"Kingdom of the Wicked (Kingdom of the Wicked, #1)",Kerri Maniscalco
26,Punk 57 (Kindle Edition),Penelope Douglas
27,"Dance of Thieves (Dance of Thieves, #1)",Mary E. Pearson
28,"The Shadows Between Us (The Shadows Between Us, #1)",Tricia Levenseller
29,"A Touch of Darkness (Hades & Persephone, #1)",Scarlett St. Clair
30,"Shatter Me (Shatter Me, #1)",Tahereh Mafi
31,"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly Jackson
32,"Red Queen (Red Queen, #1)",Victoria Aveyard
33,The Midnight Library (Hardcover),Matt Haig
34,"House of Earth and Blood (Crescent City, #1)",Sarah J. Maas
35,"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas
36,"We Hunt the Flame (Sands of Arawiya, #1)",Hafsah Faizal
37,"Daughter of the Pirate King (Daughter of the Pirate King, #1)",Tricia Levenseller
38,Daisy Jones & The Six (Hardcover),Taylor Jenkins Reid
39,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas
40,Normal People (Hardcover),Sally Rooney
41,"One of Us Is Lying (One of Us is Lying, #1)",Karen M. McManus
42,The Priory of the Orange Tree (Kindle Edition),Samantha Shannon
